x,y,x-xbar,y-ybar,(x-xbar)*(y-ybar),pred ,err,,,,,,,
6.1101,17.592,-2.0497,11.75286495,-24.08984728,3.39377399,201.5896218,,,mean_x ,8.1598,,,
5.5277,9.1302,-2.6321,3.291064948,-8.662412051,2.698951195,41.36096119,,,mean_y ,5.839135052,,,
8.5186,13.662,0.3588,7.822864948,2.806843944,6.267195524,54.68313324,,,,,,,
7.0032,11.854,-1.1566,6.014864948,-6.956792799,4.459272338,54.68199719,,,sum(prod),1715.219529,,,
5.8598,6.8233,-2.3,0.984164948,-2.263579381,3.095157669,13.89904524,,,n ,97,,,
8.3829,11.886,0.2231,6.046864948,1.34905557,6.105300858,33.41648257,,,,,,,
7.4764,4.3483,-0.6834,-1.490835052,1.018836674,5.023815859,0.456321676,,,covar,17.68267555,,,
8.5781,12,0.4183,6.160864948,2.577089808,6.338181026,32.0561941,,,,,,alpha ,-3.895780883
6.4862,6.5987,-1.6736,0.759564948,-1.271207898,3.842473944,7.596782072,,covar(excel)],17.68267555,,,beta ,1.193033645
5.0546,3.8166,-3.1052,-2.022535052,6.280375842,2.134526978,2.829369651,,,,,,,
5.7107,3.2522,-2.4491,-2.586935052,6.335662635,2.917276352,0.11217385,,std(x),3.849883996,,,,
14.164,15.505,6.0042,9.665864948,58.03578632,13.00234766,6.263268724,,std(y),5.481785257,,,,
5.734,3.1551,-2.4258,-2.684035052,6.510932228,2.945074036,0.044110905,,,,,,,
8.4084,7.2258,0.2486,1.386664948,0.344724906,6.135723216,1.188267395,,,,,,sum(err),868.5324469
5.6407,0.71618,-2.5191,-5.122955052,12.90523607,2.833763997,4.484161986,,,correlation,0.837873233,,count ,97
5.3794,3.5129,-2.7804,-2.326235052,6.467863937,2.522024306,0.981834641,,,,,,,
6.3654,5.3048,-1.7944,-0.534335052,0.958810816,3.69835548,2.580663997,,,,,,sq err,8.953942752
5.1301,0.56077,-3.0297,-5.278365052,15.9918626,2.224601018,2.768333657,,,,,,err,2.992313946
6.4296,3.6518,-1.7302,-2.187335052,3.784527106,3.77494824,0.015165489,,,,,,,
7.0708,5.3893,-1.089,-0.449835052,0.489870371,4.539921413,0.721443984,,,,,,,
6.1891,3.1386,-1.9707,-2.700535052,5.321944426,3.488023648,0.122096886,,,,,,,
20.27,21.767,12.1102,15.92786495,192.8896301,20.2870111,2.190367151,,,,,,,
5.4901,4.263,-2.6697,-1.576135052,4.207807747,2.65409313,2.588581315,,,,,,,
6.3261,5.1875,-1.8337,-0.651635052,1.194903194,3.651469257,2.359390442,,,,,,,
5.5649,3.0825,-2.5949,-2.756635052,7.153192295,2.743332047,0.1150349,,,,,,,
18.945,22.638,10.7852,16.79886495,181.1791182,18.70624152,15.45872476,,,,,,,
12.828,13.501,4.6682,7.661864948,35.76711795,11.40845471,4.378745779,,,,,,,
10.957,7.0467,2.7972,1.207564948,3.377800674,9.176288763,4.535148301,,,,,,,
13.176,14.692,5.0162,8.852864948,44.40774115,11.82363042,8.227544041,,,,,,,
22.203,24.147,14.0432,18.30786495,257.101009,22.59314513,2.414464948,,,,,,,
5.2524,-1.22,-2.9074,-7.059135052,20.52372925,2.370509033,12.89175512,,,,,,,
6.5894,5.9966,-1.5704,0.157464948,-0.247282955,3.965595016,4.124981244,,,,,,,
9.2482,12.134,1.0884,6.294864948,6.85133101,7.137632871,24.96368449,,,,,,,
5.8918,1.8495,-2.268,-3.989635052,9.048492297,3.133334746,1.648231654,,,,,,,
8.2111,6.5426,0.0513,0.703464948,0.036087752,5.900337678,0.41250089,,,,,,,
